filename,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_979c712d-a83b-4c2c-9f67-e13fd77c3d3e_model.csv,4.7586136,4.2965097,5.4569554,4.564398
L_993af61e-34de-4cea-91e7-742895e888f1_model.csv,4.411229,4.3494487,3.4304352,4.0676365
L_9c2846e5-98e0-401e-a4f4-6454239229cb_model.csv,4.5230737,4.5544577,2.8921075,3.1854243
L_9d4271cc-96c5-4cfb-9c71-8da6505de8e6_model.csv,2.7538493,2.7958858,1.3982548,1.4128944
L_9ed6497b-9595-42ca-a927-a5779f93b310_model.csv,4.350476,4.8157997,2.1575215,1.8666607
L_a0b394c0-fe40-4a6b-902d-02e655054a9f_model.csv,3.7777135,3.8371599,3.9872894,3.4278452
L_a1505633-dbd6-4af9-b366-be44343dfc8a_model.csv,3.8910775,3.8249397,3.301248,3.1153686
L_a263c534-9dfb-4706-8ad7-4348f91e0aaa_model.csv,5.001123,5.0402064,4.3395495,4.2462926
L_a2b47f7f-29a6-4cb0-b901-efd7fe5234b6_model.csv,3.566825,2.9362416,3.3978567,2.7540576
L_a37b9ab2-7b88-4199-aec5-727c5a9ec11c_model.csv,4.467327,4.7598777,4.830457,5.0525994
L_a39a24f8-11ad-4c75-b6dc-c49307eb3dd1_model.csv,6.7076654,6.704513,5.409256,5.133357
L_a3d72fc5-9161-43e8-ae93-b84ee685825c_model.csv,3.5978491,4.0951467,6.47147,7.9177423
L_a5722cc8-9c95-4de3-8ada-c48ce39fed3f_model.csv,3.1260698,2.1383178,3.3796134,2.2272277
L_a5c8850a-5176-4876-800d-225f1620796d_model.csv,1.3965466,1.0118241,2.1986234,2.0083992
L_a8b2663a-a5e0-4420-87a8-488ec62dadda_model.csv,5.7003765,5.1534405,4.1060658,3.3266447
L_aa4f7517-9576-4932-94ea-80f2c78b857f_model.csv,3.4055994,2.7119162,3.6351972,3.377421
L_ad73b428-de83-44c4-ac15-4279546f76a9_model.csv,4.2005057,4.0622587,2.8350387,2.268366
L_ad7b9b75-5a72-4f98-9c31-b11533eaf079_model.csv,4.621268,4.5559235,3.5741951,3.8993185
L_ae6b198b-7a69-40e4-99c5-3aa7cef49c2d_model.csv,1.9684554,2.4140565,1.6334316,1.6031953
L_b167beaf-8d0f-46d0-9442-99de9adda69c_model.csv,3.351815,4.4310493,1.2076573,2.6728687
L_b444cadf-d2e3-497a-ad4a-d47bdd9ecc66_model.csv,3.327851,3.2437165,5.319013,5.511383
L_b696cdb8-f433-4281-8d23-4e3f7ec09c80_model.csv,8.120173,7.1767015,5.8418746,4.4938917
L_b7b65b82-5616-4112-b0f2-415f812434de_model.csv,6.0175633,6.0030527,4.3907633,4.6985955
L_b7fd4927-6e3c-40a5-8122-064fe8e7d653_model.csv,6.238413,6.7050095,5.6272993,5.9736
L_b8f77edd-091b-4e63-a01d-8fb87a9f955c_model.csv,7.386348,5.8320007,5.4061747,4.1780834
