filename,frame,actual_kam,predicted_kam
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,16,2.9725776,3.1470492
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,17,3.0076842,3.175372
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,18,3.068806,3.2252705
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,19,3.1052022,3.287894
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,20,3.132898,3.35961
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,21,3.1960914,3.3516297
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,22,3.293461,3.3380919
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,23,3.3793864,3.3031843
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,24,3.393121,3.254644
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,25,3.2902482,3.1852987
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,26,3.085511,3.1267734
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,27,2.845683,3.0378356
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,28,2.6363652,2.9462683
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,29,2.4948525,2.8683608
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,30,2.427993,2.7930148
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,31,2.4214969,2.7437
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,32,2.4443777,2.7060063
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,33,2.4528904,2.683224
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,34,2.417174,2.674931
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,35,2.350518,2.6786203
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,36,2.303123,2.6782992
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,37,2.3178267,2.7048423
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,38,2.3963885,2.773803
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,39,2.5054915,2.8454638
